Name,Mode,Binding Energy (kcal/mol),RMSD l.b.,RMSD u.b.
WSA249_Conformation1,1,-9.1,0.0,0.0
WSA249_Conformation2,2,-8.8,3.804,9.608
WSA249_Conformation3,3,-8.8,2.548,8.535
WSA249_Conformation4,4,-8.3,4.284,8.062
WSA249_Conformation5,5,-8.2,4.338,8.0
WSA249_Conformation6,6,-8.2,2.679,8.897
WSA249_Conformation7,7,-8.2,3.737,11.542
WSA249_Conformation8,8,-8.0,3.174,6.241
WSA249_Conformation9,9,-8.0,9.524,15.158
WSA270_Conformation1,1,-8.4,0.0,0.0
WSA270_Conformation2,2,-8.2,2.146,2.941
WSA270_Conformation3,3,-8.2,8.551,14.907
WSA270_Conformation4,4,-8.1,3.184,5.467
WSA270_Conformation5,5,-8.1,2.82,5.305
WSA270_Conformation6,6,-8.1,4.095,8.119
WSA270_Conformation7,7,-8.0,6.737,12.434
WSA270_Conformation8,8,-7.9,2.665,8.479
WSA270_Conformation9,9,-7.8,7.568,13.344
WSA248_Conformation1,1,-9.4,0.0,0.0
WSA248_Conformation2,2,-9.1,4.062,7.453
WSA248_Conformation3,3,-9.1,2.343,8.747
WSA248_Conformation4,4,-9.0,2.307,8.789
WSA248_Conformation5,5,-8.9,2.304,3.417
WSA248_Conformation6,6,-8.9,4.138,7.896
WSA248_Conformation7,7,-8.8,2.314,5.085
WSA248_Conformation8,8,-8.4,4.313,11.564
WSA248_Conformation9,9,-8.4,1.65,2.308
WSA255_Conformation1,1,-8.2,0.0,0.0
WSA255_Conformation2,2,-7.6,2.251,8.431
WSA255_Conformation3,3,-7.5,10.508,14.781
WSA255_Conformation4,4,-7.5,2.316,9.178
WSA255_Conformation5,5,-7.4,9.019,13.99
WSA255_Conformation6,6,-7.4,7.954,12.303
WSA255_Conformation7,7,-7.2,6.648,10.526
WSA255_Conformation8,8,-7.1,9.727,14.505
WSA255_Conformation9,9,-7.1,8.751,13.381
WSA252_Conformation1,1,-8.1,0.0,0.0
WSA252_Conformation2,2,-7.7,7.857,12.938
WSA252_Conformation3,3,-7.4,2.1,5.587
WSA252_Conformation4,4,-7.3,2.843,6.366
WSA252_Conformation5,5,-7.1,9.966,15.469
WSA252_Conformation6,6,-7.0,9.268,14.007
WSA252_Conformation7,7,-7.0,2.591,5.82
WSA252_Conformation8,8,-7.0,7.322,12.497
WSA252_Conformation9,9,-6.9,3.392,9.767
WSA253_Conformation1,1,-6.9,0.0,0.0
WSA253_Conformation2,2,-6.8,8.655,13.22
WSA253_Conformation3,3,-6.7,13.056,17.702
WSA253_Conformation4,4,-6.6,8.686,12.899
WSA253_Conformation5,5,-6.6,10.13,14.757
WSA253_Conformation6,6,-6.6,7.332,10.988
WSA253_Conformation7,7,-6.6,2.746,4.659
WSA253_Conformation8,8,-6.4,13.798,18.072
WSA253_Conformation9,9,-6.2,3.382,9.404
WSA254_Conformation1,1,-7.9,0.0,0.0
WSA254_Conformation2,2,-7.6,2.174,3.089
WSA254_Conformation3,3,-7.4,8.264,12.569
WSA254_Conformation4,4,-7.4,9.579,14.6
WSA254_Conformation5,5,-7.4,9.097,13.408
WSA254_Conformation6,6,-7.4,9.74,14.414
WSA254_Conformation7,7,-7.4,8.933,12.846
WSA254_Conformation8,8,-7.3,4.721,7.629
WSA254_Conformation9,9,-7.3,9.051,14.047
