Name,Mode,Binding Energy (kcal/mol),RMSD l.b.,RMSD u.b.
TBM14_Conformation1,1,-9.7,0.0,0.0
TBM14_Conformation2,2,-9.1,2.337,9.168
TBM14_Conformation3,3,-9.0,6.185,10.752
TBM14_Conformation4,4,-8.9,9.542,16.772
TBM14_Conformation5,5,-8.9,9.062,16.142
TBM14_Conformation6,6,-8.8,8.868,13.143
TBM14_Conformation7,7,-8.8,8.446,12.351
TBM14_Conformation8,8,-8.7,2.413,8.269
TBM14_Conformation9,9,-8.4,9.128,15.053
TBM13_Conformation1,1,-9.6,0.0,0.0
TBM13_Conformation2,2,-9.2,6.263,10.654
TBM13_Conformation3,3,-8.8,9.007,12.986
TBM13_Conformation4,4,-8.8,9.72,16.785
TBM13_Conformation5,5,-8.7,8.871,12.794
TBM13_Conformation6,6,-8.7,9.268,15.901
TBM13_Conformation7,7,-8.2,3.599,9.125
TBM13_Conformation8,8,-8.1,9.191,11.706
TBM13_Conformation9,9,-8.0,11.534,14.599
TBM12_Conformation1,1,-9.6,0.0,0.0
TBM12_Conformation2,2,-9.1,6.494,10.726
TBM12_Conformation3,3,-9.0,9.041,13.018
TBM12_Conformation4,4,-8.7,2.334,8.941
TBM12_Conformation5,5,-8.7,4.958,8.857
TBM12_Conformation6,6,-8.7,9.804,15.224
TBM12_Conformation7,7,-8.6,9.117,13.51
TBM12_Conformation8,8,-8.6,8.32,14.212
TBM12_Conformation9,9,-8.5,4.545,7.35
TBM15_Conformation1,1,-8.6,0.0,0.0
TBM15_Conformation2,2,-8.6,6.304,10.86
TBM15_Conformation3,3,-7.9,7.003,11.47
TBM15_Conformation4,4,-7.7,4.372,9.144
TBM15_Conformation5,5,-7.7,3.157,8.259
TBM15_Conformation6,6,-7.7,4.877,8.546
TBM15_Conformation7,7,-7.5,4.449,8.255
TBM15_Conformation8,8,-7.4,1.425,2.268
TBM15_Conformation9,9,-7.4,7.466,12.232
WSA278_Conformation1,1,-7.6,0.0,0.0
WSA278_Conformation2,2,-7.6,7.997,12.914
WSA278_Conformation3,3,-7.6,3.056,8.138
WSA278_Conformation4,4,-7.4,6.874,9.031
WSA278_Conformation5,5,-7.4,2.405,4.006
WSA278_Conformation6,6,-7.3,2.858,5.956
WSA278_Conformation7,7,-7.1,7.614,12.134
WSA278_Conformation8,8,-6.9,7.428,11.966
WSA278_Conformation9,9,-6.8,8.512,13.139
WSA276_Conformation1,1,-7.9,0.0,0.0
WSA276_Conformation2,2,-7.7,1.767,2.641
WSA276_Conformation3,3,-7.7,1.978,3.58
WSA276_Conformation4,4,-7.7,2.45,8.214
WSA276_Conformation5,5,-7.3,7.022,10.619
WSA276_Conformation6,6,-7.3,8.134,13.738
WSA276_Conformation7,7,-7.1,2.897,8.62
WSA276_Conformation8,8,-7.0,2.59,5.136
WSA276_Conformation9,9,-6.8,2.197,7.843
WSA271_Conformation1,1,-7.3,0.0,0.0
WSA271_Conformation2,2,-6.9,8.13,11.332
WSA271_Conformation3,3,-6.9,2.626,8.505
WSA271_Conformation4,4,-6.8,7.323,10.624
WSA271_Conformation5,5,-6.7,2.588,9.253
WSA271_Conformation6,6,-6.6,7.235,10.755
WSA271_Conformation7,7,-6.6,7.824,12.052
WSA271_Conformation8,8,-6.6,2.922,9.338
WSA271_Conformation9,9,-6.5,2.317,3.154
WSA277_Conformation1,1,-8.1,0.0,0.0
WSA277_Conformation2,2,-8.0,8.352,13.467
WSA277_Conformation3,3,-7.9,7.915,12.405
WSA277_Conformation4,4,-7.8,2.264,7.496
WSA277_Conformation5,5,-7.6,8.296,13.459
WSA277_Conformation6,6,-7.6,7.648,13.473
WSA277_Conformation7,7,-7.6,7.478,12.992
WSA277_Conformation8,8,-7.5,1.712,5.903
WSA277_Conformation9,9,-7.4,8.457,16.168
WSA279_Conformation1,1,-8.4,0.0,0.0
WSA279_Conformation2,2,-8.4,1.343,2.153
WSA279_Conformation3,3,-8.2,3.19,7.002
WSA279_Conformation4,4,-8.1,3.27,6.883
WSA279_Conformation5,5,-8.0,7.887,12.972
WSA279_Conformation6,6,-7.8,8.353,13.903
WSA279_Conformation7,7,-7.8,7.768,11.585
WSA279_Conformation8,8,-7.7,7.092,11.754
WSA279_Conformation9,9,-7.6,2.618,9.779
WSA264_Conformation1,1,-7.6,0.0,0.0
WSA264_Conformation2,2,-7.4,3.833,10.657
WSA264_Conformation3,3,-7.3,2.08,8.432
WSA264_Conformation4,4,-7.3,2.508,9.95
WSA264_Conformation5,5,-7.2,3.429,9.977
WSA264_Conformation6,6,-7.1,2.21,8.745
WSA264_Conformation7,7,-7.0,1.662,2.744
WSA264_Conformation8,8,-6.9,1.349,1.749
WSA264_Conformation9,9,-6.9,1.849,2.953
TBM5_Conformation1,1,-7.5,0.0,0.0
TBM5_Conformation2,2,-7.2,8.539,12.091
TBM5_Conformation3,3,-7.1,8.168,12.142
TBM5_Conformation4,4,-6.8,5.529,9.404
TBM5_Conformation5,5,-6.8,12.168,16.559
TBM5_Conformation6,6,-6.6,1.519,2.215
TBM5_Conformation7,7,-6.6,4.82,7.593
TBM5_Conformation8,8,-6.5,1.775,4.043
TBM5_Conformation9,9,-6.5,3.41,7.151
TBM2_Conformation1,1,-7.3,0.0,0.0
TBM2_Conformation2,2,-7.1,5.199,9.076
TBM2_Conformation3,3,-6.9,8.357,12.419
TBM2_Conformation4,4,-6.7,1.333,1.991
TBM2_Conformation5,5,-6.7,8.791,12.728
TBM2_Conformation6,6,-6.7,3.758,7.284
TBM2_Conformation7,7,-6.7,8.921,12.476
TBM2_Conformation8,8,-6.5,1.286,2.686
TBM2_Conformation9,9,-6.5,4.597,7.735
WSA265_Conformation1,1,-8.2,0.0,0.0
WSA265_Conformation2,2,-7.8,1.387,2.227
WSA265_Conformation3,3,-7.7,2.332,10.452
WSA265_Conformation4,4,-7.6,1.166,1.773
WSA265_Conformation5,5,-7.6,3.128,5.899
WSA265_Conformation6,6,-7.4,3.745,5.766
WSA265_Conformation7,7,-7.4,8.771,13.115
WSA265_Conformation8,8,-7.4,3.396,6.584
WSA265_Conformation9,9,-7.3,8.743,14.582
TBM3_Conformation1,1,-7.3,0.0,0.0
TBM3_Conformation2,2,-7.0,8.452,12.43
TBM3_Conformation3,3,-7.0,5.794,9.664
TBM3_Conformation4,4,-7.0,1.323,1.844
TBM3_Conformation5,5,-7.0,8.979,12.368
TBM3_Conformation6,6,-6.9,4.159,7.407
TBM3_Conformation7,7,-6.7,2.41,3.796
TBM3_Conformation8,8,-6.7,2.89,5.966
TBM3_Conformation9,9,-6.6,5.202,7.857
TBM4_Conformation1,1,-7.7,0.0,0.0
TBM4_Conformation2,2,-7.7,4.955,8.929
TBM4_Conformation3,3,-7.5,4.402,9.907
TBM4_Conformation4,4,-7.4,5.025,9.105
TBM4_Conformation5,5,-7.4,5.731,10.557
TBM4_Conformation6,6,-7.3,5.566,10.24
TBM4_Conformation7,7,-7.3,7.475,11.629
TBM4_Conformation8,8,-7.1,5.54,8.329
TBM4_Conformation9,9,-7.1,5.338,9.858
TBM10_Conformation1,1,-9.2,0.0,0.0
TBM10_Conformation2,2,-8.7,2.36,9.087
TBM10_Conformation3,3,-8.4,9.34,16.041
TBM10_Conformation4,4,-8.4,6.836,11.017
TBM10_Conformation5,5,-8.2,9.365,16.328
TBM10_Conformation6,6,-8.2,8.917,13.485
TBM10_Conformation7,7,-8.2,3.588,9.197
TBM10_Conformation8,8,-8.2,3.607,8.53
TBM10_Conformation9,9,-8.0,8.385,13.625
TBM16_Conformation1,1,-9.1,0.0,0.0
TBM16_Conformation2,2,-8.9,3.1,9.656
TBM16_Conformation3,3,-8.9,2.504,7.725
TBM16_Conformation4,4,-8.7,3.162,12.579
TBM16_Conformation5,5,-8.6,9.87,17.137
TBM16_Conformation6,6,-8.5,9.652,16.264
TBM16_Conformation7,7,-8.4,10.503,17.607
TBM16_Conformation8,8,-8.3,5.198,15.461
TBM16_Conformation9,9,-8.2,5.59,12.221
TBM11_Conformation1,1,-8.9,0.0,0.0
TBM11_Conformation2,2,-8.7,2.482,9.027
TBM11_Conformation3,3,-8.5,6.478,10.803
TBM11_Conformation4,4,-8.5,10.536,15.87
TBM11_Conformation5,5,-8.5,3.514,7.577
TBM11_Conformation6,6,-8.3,3.794,8.876
TBM11_Conformation7,7,-8.3,8.462,13.078
TBM11_Conformation8,8,-8.3,8.829,13.291
TBM11_Conformation9,9,-8.3,3.295,9.122
WSA272_Conformation1,1,-7.5,0.0,0.0
WSA272_Conformation2,2,-7.3,1.847,8.201
WSA272_Conformation3,3,-7.2,2.114,8.47
WSA272_Conformation4,4,-6.9,3.488,7.264
WSA272_Conformation5,5,-6.8,8.633,12.884
WSA272_Conformation6,6,-6.7,2.184,3.318
WSA272_Conformation7,7,-6.7,8.386,12.561
WSA272_Conformation8,8,-6.6,8.537,13.116
WSA272_Conformation9,9,-6.6,8.037,12.83
WSA275_Conformation1,1,-7.8,0.0,0.0
WSA275_Conformation2,2,-7.6,2.393,3.711
WSA275_Conformation3,3,-7.6,3.459,8.08
WSA275_Conformation4,4,-7.6,7.863,12.428
WSA275_Conformation5,5,-7.6,1.975,2.75
WSA275_Conformation6,6,-7.5,8.264,12.473
WSA275_Conformation7,7,-7.3,7.261,10.423
WSA275_Conformation8,8,-7.3,3.284,6.089
WSA275_Conformation9,9,-7.0,6.908,9.032
WSA274_Conformation1,1,-8.3,0.0,0.0
WSA274_Conformation2,2,-8.2,8.166,12.381
WSA274_Conformation3,3,-8.2,3.155,7.701
WSA274_Conformation4,4,-8.2,8.545,13.352
WSA274_Conformation5,5,-8.2,8.443,13.465
WSA274_Conformation6,6,-8.0,2.067,7.346
WSA274_Conformation7,7,-8.0,3.67,6.789
WSA274_Conformation8,8,-7.9,8.212,13.508
WSA274_Conformation9,9,-7.7,4.72,8.265
